,Current,Frequency,Signal
72,,2776633165.82915,6.43045e-13
73,,2778391959.799,6.96335e-13
74,,2780150753.76884,6.39492e-13
75,,2781909547.73869,6.92783e-13
76,,2783668341.70854,7.78048e-13
77,,2785427135.67839,5.7199e-13
78,,2787185929.64824,5.68438e-13
79,,2788944723.61809,7.53179e-13
80,,2790703517.58794,7.70942e-13
81,,2792462311.55779,8.02917e-13
82,,2794221105.52764,6.43045e-13
83,,2795979899.49749,5.15147e-13
84,,2797738693.46734,4.58304e-13
85,,2799497487.43719,5.75543e-13
86,,2801256281.40704,5.64885e-13
87,,2803015075.37688,4.58304e-13
88,,2804773869.34673,4.76067e-13
89,,2806532663.31658,4.83173e-13
90,,2808291457.28643,5.61332e-13
91,,2810050251.25628,4.26327e-13
92,,2811809045.22613,5.04489e-13
93,,2813567839.19598,5.22252e-13
94,,2815326633.16583,5.15147e-13
95,,2817085427.13568,6.03965e-13
96,,2818844221.10553,5.89754e-13
97,,2820603015.07538,6.71466e-13
98,,2822361809.04523,7.99364e-13
99,,2824120603.01508,5.82649e-13
100,,2825879396.98492,4.2988e-13
101,,2827638190.95477,4.44091e-13
102,,2829396984.92462,4.61856e-13
103,,2831155778.89447,4.83173e-13
104,,2832914572.86432,4.72514e-13
105,,2834673366.83417,6.78572e-13
106,,2836432160.80402,6.5015e-13
107,,2838190954.77387,6.18176e-13
108,,2839949748.74372,6.67914e-13
109,,2841708542.71357,6.5015e-13
110,,2843467336.68342,7.21204e-13
111,,2845226130.65327,8.5976e-13
112,,2846984924.62312,1.47438e-12
113,,2848743718.59296,2.30928e-12
114,,2850502512.56281,3.85827e-12
115,,2852261306.53266,7.08769e-12
116,,2854020100.50251,1.29248e-11
117,,2855778894.47236,1.76642e-11
118,,2857537688.44221,2.31176e-11
119,,2859296482.41206,2.30821e-11
120,,2861055276.38191,2.06023e-11
121,,2862814070.35176,1.84671e-11
122,,2864572864.32161,1.28857e-11
123,,2866331658.29146,8.37025e-12
124,,2868090452.26131,5.92951e-12
125,,2869849246.23116,4.16026e-12
126,,2871608040.201,3.50654e-12
127,,2873366834.17085,4.2171e-12
128,,2875125628.1407,5.71279e-12
129,,2876884422.11055,8.54433e-12
130,,2878643216.0804,1.43424e-11
131,,2880402010.05025,1.75399e-11
132,,2882160804.0201,2.04637e-11
133,,2883919597.98995,2.19168e-11
134,,2885678391.9598,1.89752e-11
135,,2887437185.92965,1.55184e-11
136,,2889195979.8995,9.43606e-12
137,,2890954773.86935,5.2616e-12
138,,2892713567.8392,2.93811e-12
139,,2894472361.80905,1.82256e-12
140,,2896231155.77889,1.09069e-12
141,,2897989949.74874,7.42521e-13
142,,2899748743.71859,8.45549e-13
143,,2901507537.68844,7.24757e-13
144,,2903266331.65829,7.74495e-13
145,,2905025125.62814,6.39492e-13
146,,2906783919.59799,5.50674e-13
147,,2908542713.56784,5.61332e-13
148,,2910301507.53769,8.10022e-13
149,,2912060301.50754,7.70942e-13
150,,2913819095.47739,6.82124e-13
151,,2915577889.44724,6.8923e-13
152,,2917336683.41709,8.2068e-13
153,,2919095477.38693,6.46597e-13
154,,2920854271.35678,6.82124e-13
155,,2922613065.32663,5.54227e-13
156,,2924371859.29648,5.86201e-13
157,,2926130653.26633,4.2988e-13
158,,2927889447.23618,5.64885e-13
159,,2929648241.20603,6.57256e-13
160,,2931407035.17588,4.2988e-13
161,,2933165829.14573,5.08042e-13
162,,2934924623.11558,5.89754e-13
163,,2936683417.08543,7.38968e-13
164,,2938442211.05528,7.14099e-13
165,,2940201005.02513,5.82649e-13
166,,2941959798.99498,6.5015e-13
167,,2943718592.96482,6.46597e-13
168,,2945477386.93467,6.39492e-13
169,,2947236180.90452,6.78572e-13
170,,2948994974.87437,6.78572e-13
171,,2950753768.84422,7.06993e-13
172,,2952512562.81407,5.04489e-13
173,,2954271356.78392,6.1107e-13
174,,2956030150.75377,5.43569e-13
175,,2957788944.72362,4.93831e-13
176,,2959547738.69347,6.03965e-13
177,,2961306532.66332,6.35939e-13
178,,2963065326.63317,6.82124e-13
179,,2964824120.60301,6.96335e-13
180,,2966582914.57286,5.75543e-13
181,,2968341708.54271,6.92783e-13
182,,2970100502.51256,7.10546e-13
183,,2971859296.48241,5.93307e-13
184,,2973618090.45226,6.07518e-13
185,,2975376884.42211,6.99888e-13
186,,2977135678.39196,7.46073e-13
187,,2978894472.36181,5.89754e-13
188,,2980653266.33166,6.00412e-13
189,,2982412060.30151,6.5015e-13
